,zip,city,county,pop,ZIP,LAT,LNG,_merge,gundo_lat,gundo_long,Est_Dist_from_Home (Miles)
692,92532,Lake Elsinore,Riverside,25923,92532,33.692673,-117.302957,both,33.92735,-118.41591,65.98886571
693,94803,El Sobrante,Contra Costa,25893,94803,37.959549,-122.283578,both,33.92735,-118.41591,353.0360471
694,94123,San Francisco,San Francisco,25890,94123,37.800934,-122.438366,both,33.92735,-118.41591,350.0940835
695,91740,Glendora,Los Angeles,25877,91740,34.119367,-117.855054,both,33.92735,-118.41591,34.78703014
696,94947,Novato,Marin,25867,94947,38.112166,-122.634384,both,33.92735,-118.41591,373.3691928
697,92832,Fullerton,Orange,25837,92832,33.868649,-117.929055,both,33.92735,-118.41591,28.24422649
698,94402,San Mateo,San Mateo,25703,94402,37.523602,-122.34492,both,33.92735,-118.41591,332.4146772
699,95815,Sacramento,Sacramento,25673,95815,38.605407,-121.447593,both,33.92735,-118.41591,365.0177996
700,92411,San Bernardino,San Bernardino,25650,92411,34.122501,-117.320138,both,33.92735,-118.41591,64.24925369
701,91030,South Pasadena,Los Angeles,25637,91030,34.108957,-118.156615,both,33.92735,-118.41591,19.46190553
702,94547,Hercules,Contra Costa,25616,94547,38.010166,-122.261728,both,33.92735,-118.41591,355.0222316
703,90602,Whittier,Los Angeles,25581,90602,33.972782,-118.022066,both,33.92735,-118.41591,22.81465008
704,91106,Pasadena,Los Angeles,25543,91106,34.139402,-118.128658,both,33.92735,-118.41591,22.05054376
705,95677,Rocklin,Placer,25477,95677,38.791075,-121.234854,both,33.92735,-118.41591,371.1967851
706,93933,Marina,Monterey,25442,93933,36.686845,-121.786887,both,33.92735,-118.41591,269.4697217
707,95945,Grass Valley,Nevada,25381,95945,39.196387,-120.972289,both,33.92735,-118.41591,391.0910035
708,94506,Danville,Contra Costa,25240,94506,37.809677,-121.913141,both,33.92735,-118.41591,332.402666
709,95003,Aptos,Santa Cruz,25185,95003,37.0067,-121.878207,both,33.92735,-118.41591,288.7554448
710,91403,Sherman Oaks,Los Angeles,25156,91403,34.147149,-118.463365,both,33.92735,-118.41591,15.44432721
711,91737,Rancho Cucamonga,San Bernardino,25154,91737,34.152583,-117.577707,both,33.92735,-118.41591,50.50450219
